Cấp 1,Cấp 2,Cấp 3,Cấp 4,Cấp 5,Tên ngành VSIC 2018,Từ khóa nhận diện và phân loại gói thầu,Nhóm lĩnh vực phân loại lại,Lĩnh vực chi tiết trong đấu thầu (phân loại lại),
,,22,220,2200,Khai thác gỗ,"Khai thác gỗ, sản xuất gỗ",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,23,,,"Khai thác, thu nhặt lâm sản khác trừ gỗ","Khai thác lâm sản, khai thác nông sản",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,231,2310,Khai thác lâm sản khác trừ gỗ,Khai thác lâm sản,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,232,2320,Thu nhặt lâm sản khác trừ gỗ,Khai thác lâm sản,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,24,240,2400,Hoạt động dịch vụ lâm nghiệp,"Khai thác gỗ, ép gỗ, sấy gỗ, cưa gỗ, xẻ gỗ, sấy nông sản, bảo quản nông sản",Nông nghiệp,"Ngành nông, lâm nghiệp",
,3,,,,"Khai thác, nuôi trồng thủy sản",,,,
,,31,,,Khai thác thủy sản,,,,
,,,311,3110,Khai thác thủy sản biển,"Khai thác hải sản, đánh bắt xa bờ",Nông nghiệp,Thủy sản,
,,,312,3120,Khai thác thủy sản nội địa,Khai thác thủy sản,Nông nghiệp,Thủy sản,
,,32,,,Nuôi trồng thủy sản,,,,
,,,321,,Nuôi trồng thủy sản biển,Nuôi trồng hải sản,Nông nghiệp,Thủy sản,
,,,,3211,Nuôi cá,Nuôi cá biển,Nông nghiệp,Thủy sản,
,,,,3212,Nuôi tôm,"Nuôi tôm biển, nuôi tôm nước lợ",Nông nghiệp,Thủy sản,
,,,,3213,Nuôi thủy sản khác,Nuôi trồng hải sản,Nông nghiệp,Thủy sản,
,,,,3214,Sản xuất giống thủy sản biển,Sản xuất giống hải sản,Nông nghiệp,Thủy sản,
,,,322,,Nuôi trồng thủy sản nội địa,Nuôi trồng thủy sản,Nông nghiệp,Thủy sản,
,,,,3221,Nuôi cá,"Nuôi cá nước ngọt, nuôi cá",Nông nghiệp,Thủy sản,
,,,,3222,Nuôi tôm,"Nuôi tôm sú, nuôi tôm",Nông nghiệp,Thủy sản,
,,,,3223,Nuôi thủy sản khác,Nuôi thủy sản,Nông nghiệp,Thủy sản,
,,,,3224,Sản xuất giống thủy sản nội địa,"Sản xuất giống thủy sản, giống cá, giống tôm",Nông nghiệp,Thủy sản,
B,,,,,KHAI KHOÁNG,,,,
,5,,,,Khai thác than cứng và than non,,,,
,,51,510,5100,Khai thác và thu gom than cứng,"Khai thác than cứng, thu gom than cứng",Công nghiệp,Khai thác,
,,52,520,5200,Khai thác và thu gom than non,"Khai thác than non, thu gom than non",Công nghiệp,Khai thác,
,6,,,,Khai thác dầu thô và khí đốt tự nhiên,,,,
,,61,610,6100,Khai thác dầu thô,"Khai thác dầu khí, khai thác dầu thô, sản xuất dầu thô",Công nghiệp,Khai thác,
,,62,620,6200,Khai thác khí đốt tự nhiên,"Khai thác khí đốt, cung cấp khí đốt",Công nghiệp,Khai thác,
,7,,,,Khai thác quặng kim loại,,,,
,,71,710,7100,Khai thác quặng sắt,"Khai thác quặng sắt, quặng sắt",Công nghiệp,Khai thác,
,,72,,,Khai thác quặng không chứa sắt (trừ quặng kim loại quý hiếm),,,,
,,,721,7210,Khai thác quặng uranium và quặng thorium,"Khai thác uranium, khai thác thorium, khai thác quặng xạ hiếm",Công nghiệp,Khai thác,
,,,722,,Khai thác quặng kim loại khác không chứa sắt,"Khai thác quặng kim loại màu, sản xuất quặng kim loại màu",Công nghiệp,Khai thác,
,,,,7221,Khai thác quặng bôxít,"Khai thác quặng bôxit, sản xuất quặng bôxit",Công nghiệp,Khai thác,
,,,,7229,Khai thác quặng kim loại khác không chứa sắt chưa được phân vào đâu,"Khai thác đất hiếm, sản xuất đất hiếm",Công nghiệp,Khai thác,
,,73,730,7300,Khai thác quặng kim loại quý hiếm,"Khai thác quặng kim loại quý, sản xuất quặng kim loại quý",Công nghiệp,Khai thác,
,8,,,,Khai khoáng khác,,,,
,,81,810,,"Khai thác đá, cát, sỏi, đất sét","Khai thác vật liệu xây dựng, sản xuất vật liệu xây dựng",,,
,,,,8101,Khai thác đá,"Khai thác đá, sản xuất đá",Công nghiệp,Vật liệu xây dựng,
,,,,8102,"Khai thác cát, sỏi","Khai thác cát, sản xuất cát, khai thác sỏi, sản xuất đá sỏi",Công nghiệp,Vật liệu xây dựng,
,,,,8103,Khai thác đất sét,"Khai thác đất sét, sản xuất đất sét, đất nung, ",Công nghiệp,Vật liệu xây dựng,
